id,name,department,total_reviews_count,average_quality_rating,average_difficulty_rating,classes_taught
1650899,Susan Ware,Honors,60,4.316666666666666,3.0166666666666666,"['HISTORY112H', 'HISTORY225H', '201H', 'HON201H', 'HONORS201', 'HONORS201H', 'HONORS291A', 'HON291', '291A', 'HONORS391A', 'HONSEM291A', 'HONSEA', 'HONOR291A', 'HNRSE291A']"
2412507,Rachid Skouta,Chemistry,60,3.85,3.55,"['CHEM261', 'CHEM250', 'CHEM110', 'CHM261']"
63583,James Theroux,Business,60,2.25,3.3666666666666667,"['MGMT343', 'MANAGEMENT301', 'MGMT241', 'MGT492', 'MAN343', 'MANAGEMENT241', 'SCHMGMT491E', 'MGT491', 'ENT1', 'MGT479A', 'MAN301', 'MGT301', 'MGMT301', 'MGMTXXXX', 'MNGT301', '301', 'MGT100', '492', 'MGT', 'MANAGEMENT', 'MGT492G', 'MGMT', 'FOMGT499Y']"
289035,David Sommerfeld,Chemistry,60,2.0,4.05,"['CHEM315LAB', 'CHEM102', 'CHEM112', 'CHEM111', 'CHEM471', 'CHEM315', 'CHEM312', '312', 'CHEM476LAB']"
2888516,Nicole Melton,Business,61,3.7049180327868854,2.901639344262295,['MGMT201']
83034,Neil Berthier,Psychology,60,2.8833333333333333,3.3666666666666667,"['PSYCH350', 'PSYC350', 'PSYCH391C', 'PYSCH240', 'PSYCH240', 'PYSCH350', 'PSYCH380', 'CHILD350', 'PSYCH335', 'CHILDPSYC', 'CHILDPSYCH', 'PSYCH', '350', 'PSYCH391A', 'PSY391A', 'CHILDDEVE', 'PSYCH100']"
100282,Elizabeth Kohler,Psychology,59,4.508474576271187,2.1186440677966103,"['PSYCH241', 'PSYCH320', '241', 'PSCYH320', '100H', 'PSYCH100H', 'PSYCH', '241AND32', '240', 'PSY320', '241320']"
497447,Emily West,Communication,59,3.542372881355932,2.5254237288135593,"['COMM121', 'COMM337', 'COMM394CI', 'COMM111', 'COMM497X', 'COMM391C', '391C', 'COMM397L']"
812881,Kristin Bock,Business Communications,59,4.288135593220339,2.457627118644068,"['SCHMG310', 'MGMT310', 'SMGT310', 'SOM200', 'SCHMGMT200', 'SCHMGMT292C', 'ISOM292C', 'SOM310', '292C', 'JRYR130', 'SCHMG2', 'SOMSOM', 'HONOR291D', 'ENG291', 'HONORS291D']"
192305,Lisa Henderson,Communication,59,3.389830508474576,2.9661016949152543,"['COMM121', '121', 'COMM394CI', 'COMM101', 'COMM100', 'COMM1', 'COM121', '118', 'COMMM', 'COM', 'COMM', 'COMM600']"
1245705,Brian Lickel,Psychology,59,4.0508474576271185,2.542372881355932,"['PSYCH391', 'PSYCH217', '217', '271', '21701', 'PSYSC217']"
100279,Michael Knapp,Chemistry,58,2.9310344827586206,3.396551724137931,"['CHEM122H', 'CHEM112', 'CHEM291', 'CHEM111', 'CHEM121H', 'CHEM342', 'CHEM241', 'NATIV104', '241', 'CHEM242']"
814822,Linda Peters,Management,59,3.5254237288135593,2.3728813559322033,"['MBA', 'MGMT680', 'MGMT770', 'SCHMGMT680', 'MGT680', 'SCHMGMT770', 'MGT770', 'MGMT797G', 'MGMT301', 'MGMTHRMA', 'MGMT682', 'MGTMBA', 'MANAGEMENT301', 'HRMGTGRAD', '301', 'SOM680', 'ONLINEHRMGT', 'MGT']"
1948400,Marc Liberatore,Computer Science,58,4.672413793103448,3.189655172413793,"['CMPSCI186', 'CICS210', 'CS230', 'COMPSCI186', 'CS187', 'CS590K', 'CS186', 'CMPSCI391L', 'CS190D', 'CS365', '190D', 'COMPSCI190D', 'COMPSCI187', 'CMPSCI187', 'CS383']"
2531722,Maria Correia,Mathematics,59,3.389830508474576,3.593220338983051,"['MAT132', 'MATH132', 'MATH127', 'MA132']"
